Year,Month,Sum of number,make
2022,July,27,TOYOTA
2022,August,37,TOYOTA
2022,September,32,TOYOTA
2022,October,9,TOYOTA
2022,November,7,TOYOTA
2022,December,22,TOYOTA
2023,January,46,TOYOTA
2023,February,50,TOYOTA
2023,March,52,TOYOTA
2023,April,44,TOYOTA
2023,May,51,TOYOTA
2023,June,25,TOYOTA
2023,July,26,TOYOTA
2023,August,40,TOYOTA
2023,September,24,TOYOTA
2023,October,12,TOYOTA
2023,November,21,TOYOTA
2023,December,20,TOYOTA
2024,January,8,TOYOTA
2024,February,23,TOYOTA
2024,March,21,TOYOTA
2024,April,9,TOYOTA
2024,May,10,TOYOTA
2024,June,7,TOYOTA
2024,July,7,TOYOTA
2024,August,9,TOYOTA
2024,September,9,TOYOTA
2024,October,3,TOYOTA
